,threshold,ASR,delta_ASR,CACC,delta_CACC
0,0,100,100.0,90.88,41.79743119266055
1,1,100,69.95614035087719,90.88,33.884587155963295
2,2,100,62.609649122807014,90.88,30.100183486238528
3,3,100,60.19736842105263,90.88,24.595596330275228
4,4,100,59.868421052631575,90.88,21.613944954128442
5,5,100,60.96491228070175,90.88,20.35247706422018
6,6,100,62.06140350877193,90.88,17.25614678899082
7,7,100,64.25438596491227,90.88,13.357064220183474
8,8,100,65.89912280701755,90.88,10.031376146788986
9,9,100,69.40789473684211,90.88,8.655229357798163
10,10,100,71.49122807017544,90.88,6.591009174311921
11,11,100,74.89035087719299,90.88,6.3616513761467814
12,12,100,77.85087719298245,90.88,3.9533944954128515
13,13,100,79.82456140350877,90.88,3.150642201834856
14,14,100,79.60526315789474,90.88,2.9212844036697163
15,15,100,79.82456140350877,90.88,1.8891743119265954
16,16,100,80.15350877192982,90.88,1.545137614678893
17,17,100,80.26315789473685,90.88,0.9717431192660513
18,18,100,79.49561403508773,90.88,0.2836697247706468
19,19,100,79.27631578947368,90.88,0.05431192660550721
20,20,100,78.0701754385965,90.88,0.1689908256880699
21,21,100,76.42543859649123,90.88,-0.06036697247706968
22,22,100,73.90350877192982,90.88,-0.17504587155964657
23,23,100,69.73684210526315,90.88,-0.28972477064220925
24,24,100,65.89912280701755,90.88,-0.40440366972477193
25,25,100,60.08771929824561,90.88,-0.8631192660550511
26,26,100,55.372807017543856,90.88,-0.8631192660550511
27,27,100,50.32894736842105,90.88,-0.8631192660550511
28,28,100,45.28508771929825,90.88,-0.9777981651376138
29,29,100,40.67982456140351,90.88,-1.3218348623853302
30,30,100,37.06140350877193,90.88,-1.3218348623853302
31,31,100,33.00438596491229,90.88,-1.0924770642201906
32,32,100,28.50877192982456,90.88,-1.0924770642201906
33,33,100,25.219298245614027,90.88,-0.9777981651376138
34,34,100,20.942982456140342,90.88,-0.8631192660550511
35,35,100,18.421052631578945,90.88,-0.8631192660550511
36,36,100,16.22807017543859,90.88,-0.8631192660550511
37,37,100,15.021929824561411,90.88,-0.8631192660550511
38,38,100,12.719298245614027,90.88,-0.8631192660550511
39,39,100,11.51315789473685,90.88,-0.8631192660550511
40,40,100,10.85526315789474,90.88,-0.8631192660550511
41,41,100,9.649122807017534,90.88,-0.8631192660550511
42,42,100,9.100877192982466,90.88,-0.8631192660550511
43,43,100,8.223684210526315,90.88,-0.8631192660550511
44,44,100,7.675438596491219,90.88,-0.8631192660550511
45,45,100,7.5657894736842195,90.88,-0.8631192660550511
46,46,100,7.346491228070178,90.88,-0.8631192660550511
47,47,100,7.346491228070178,90.88,-0.8631192660550511
48,48,100,7.23684210526315,90.88,-0.8631192660550511
49,49,100,7.23684210526315,90.88,-0.8631192660550511
50,50,100,7.017543859649123,90.88,-0.8631192660550511
51,51,100,7.017543859649123,90.88,-0.8631192660550511
52,52,100,6.9078947368420955,90.88,-0.8631192660550511
53,53,100,6.798245614035096,90.88,-0.8631192660550511
54,54,100,6.798245614035096,90.88,-0.8631192660550511
55,55,100,6.798245614035096,90.88,-0.8631192660550511
56,56,100,6.798245614035096,90.88,-0.8631192660550511
57,57,100,6.798245614035096,90.88,-0.8631192660550511
58,58,100,6.798245614035096,90.88,-0.8631192660550511
59,59,100,6.798245614035096,90.88,-0.8631192660550511
60,60,100,6.798245614035096,90.88,-0.8631192660550511
61,61,100,6.798245614035096,90.88,-0.8631192660550511
62,62,100,6.798245614035096,90.88,-0.8631192660550511
63,63,100,6.798245614035096,90.88,-0.8631192660550511
64,64,100,6.798245614035096,90.88,-0.8631192660550511
65,74,100,6.798245614035096,90.88,-0.8631192660550511
66,75,100,6.798245614035096,90.88,-0.8631192660550511
67,76,100,6.798245614035096,90.88,-0.8631192660550511
68,77,100,6.798245614035096,90.88,-0.8631192660550511
69,78,100,6.798245614035096,90.88,-0.8631192660550511
70,79,100,6.798245614035096,90.88,-0.8631192660550511
71,80,100,6.798245614035096,90.88,-0.8631192660550511
72,81,100,6.798245614035096,90.88,-0.8631192660550511
73,82,100,6.798245614035096,90.88,-0.8631192660550511
