,threshold,ASR,delta_ASR,CACC,delta_CACC
0,-100,100,6.0,93.97,7.3033333333333275
1,-99,100,6.0,93.97,7.3033333333333275
2,-98,100,6.0,93.97,7.3033333333333275
3,-97,100,6.0,93.97,7.3033333333333275
4,-96,100,6.0,93.97,7.3033333333333275
5,-95,100,6.0,93.97,7.3033333333333275
6,-94,100,6.0,93.97,7.3033333333333275
7,-93,100,6.0,93.97,7.3033333333333275
8,-92,100,6.0,93.97,7.3033333333333275
9,-91,100,6.0,93.97,7.3033333333333275
10,-90,100,6.0,93.97,7.3033333333333275
11,-89,100,6.0,93.97,7.3033333333333275
12,-88,100,6.0,93.97,7.3033333333333275
13,-87,100,6.0,93.97,7.3033333333333275
14,-86,100,6.0,93.97,7.3033333333333275
15,-85,100,6.0,93.97,7.3033333333333275
16,-84,100,6.0,93.97,7.3033333333333275
17,-83,100,6.0,93.97,7.3033333333333275
18,-82,100,6.0,93.97,7.3033333333333275
19,-81,100,6.0,93.97,7.3033333333333275
20,-80,100,6.0,93.97,7.3033333333333275
21,-79,100,6.0,93.97,7.3033333333333275
22,-78,100,6.0,93.97,7.3033333333333275
23,-77,100,6.0,93.97,7.3033333333333275
24,-76,100,6.0,93.97,7.3033333333333275
25,-75,100,6.0,93.97,7.3033333333333275
26,-74,100,6.0,93.97,7.3033333333333275
27,-73,100,6.0,93.97,7.3033333333333275
28,-72,100,6.0,93.97,7.3033333333333275
29,-71,100,6.0,93.97,7.3033333333333275
30,-70,100,6.0,93.97,7.3033333333333275
31,-69,100,6.333333333333329,93.97,7.3033333333333275
32,-68,100,6.333333333333329,93.97,7.3033333333333275
33,-67,100,6.333333333333329,93.97,7.3033333333333275
34,-66,100,6.333333333333329,93.97,7.3033333333333275
35,-65,100,6.333333333333329,93.97,7.63666666666667
36,-64,100,6.333333333333329,93.97,7.63666666666667
37,-63,100,6.333333333333329,93.97,7.63666666666667
38,-62,100,6.333333333333329,93.97,7.63666666666667
39,-61,100,6.333333333333329,93.97,7.63666666666667
40,-60,100,6.333333333333329,93.97,7.63666666666667
41,-59,100,6.333333333333329,93.97,7.63666666666667
42,-58,100,6.666666666666671,93.97,7.63666666666667
43,-57,100,7.0,93.97,7.63666666666667
44,-56,100,7.0,93.97,7.63666666666667
45,-55,100,7.0,93.97,7.63666666666667
46,-54,100,7.0,93.97,7.3033333333333275
47,-53,100,7.0,93.97,7.3033333333333275
48,-52,100,7.0,93.97,7.3033333333333275
49,-51,100,7.0,93.97,7.3033333333333275
50,-50,100,7.0,93.97,7.3033333333333275
51,-49,100,7.0,93.97,7.3033333333333275
52,-48,100,7.0,93.97,7.3033333333333275
53,-47,100,7.0,93.97,7.3033333333333275
54,-46,100,7.0,93.97,7.3033333333333275
55,-45,100,7.333333333333343,93.97,7.3033333333333275
56,-44,100,7.333333333333343,93.97,7.3033333333333275
57,-43,100,7.333333333333343,93.97,7.63666666666667
58,-42,100,7.333333333333343,93.97,7.63666666666667
59,-41,100,7.333333333333343,93.97,7.63666666666667
60,-40,100,7.333333333333343,93.97,7.63666666666667
61,-39,100,7.333333333333343,93.97,7.63666666666667
62,-38,100,7.666666666666671,93.97,7.63666666666667
63,-37,100,8.333333333333343,93.97,7.63666666666667
64,-36,100,8.666666666666671,93.97,7.3033333333333275
65,-35,100,8.666666666666671,93.97,7.3033333333333275
66,-34,100,9.0,93.97,7.3033333333333275
67,-33,100,9.666666666666671,93.97,7.3033333333333275
68,-32,100,9.666666666666671,93.97,7.3033333333333275
69,-31,100,10.0,93.97,7.3033333333333275
70,-30,100,10.0,93.97,7.3033333333333275
71,-29,100,10.333333333333343,93.97,6.969999999999999
72,-28,100,11.0,93.97,6.63666666666667
73,-27,100,11.333333333333329,93.97,6.63666666666667
74,-26,100,11.666666666666671,93.97,6.63666666666667
75,-25,100,12.333333333333329,93.97,6.63666666666667
76,-24,100,13.0,93.97,6.969999999999999
77,-23,100,13.0,93.97,6.969999999999999
78,-22,100,14.333333333333329,93.97,6.969999999999999
79,-21,100,14.666666666666657,93.97,6.969999999999999
80,-20,100,14.666666666666657,93.97,6.63666666666667
81,-19,100,15.333333333333329,93.97,6.63666666666667
82,-18,100,17.0,93.97,6.63666666666667
83,-17,100,17.666666666666657,93.97,6.63666666666667
84,-16,100,18.0,93.97,6.63666666666667
85,-15,100,19.66666666666667,93.97,6.63666666666667
86,-14,100,21.66666666666667,93.97,6.63666666666667
87,-13,100,22.333333333333343,93.97,6.3033333333333275
88,-12,100,23.33333333333333,93.97,6.3033333333333275
89,-11,100,26.33333333333333,93.97,6.3033333333333275
90,-10,100,28.666666666666657,93.97,6.3033333333333275
91,-9,100,29.666666666666657,93.97,6.3033333333333275
92,-8,100,30.0,93.97,6.3033333333333275
93,-7,100,32.33333333333334,93.97,6.3033333333333275
94,-6,100,34.0,93.97,6.3033333333333275
95,-5,100,35.0,93.97,6.63666666666667
96,-4,100,38.66666666666667,93.97,6.969999999999999
97,-3,100,40.33333333333333,93.97,7.3033333333333275
98,-2,100,43.00000000000001,93.97,7.3033333333333275
99,-1,100,48.0,93.97,7.3033333333333275
