,threshold,ASR,delta_ASR,CACC,delta_CACC
0,-100,100,6.0,100,0.6666666666666714
1,-99,100,6.0,100,0.6666666666666714
2,-98,100,6.0,100,0.6666666666666714
3,-97,100,6.0,100,0.6666666666666714
4,-96,100,6.0,100,0.6666666666666714
5,-95,100,6.0,100,0.6666666666666714
6,-94,100,6.0,100,0.6666666666666714
7,-93,100,6.0,100,0.6666666666666714
8,-92,100,6.0,100,0.6666666666666714
9,-91,100,6.0,100,0.6666666666666714
10,-90,100,6.0,100,0.6666666666666714
11,-89,100,6.0,100,0.6666666666666714
12,-88,100,6.0,100,0.6666666666666714
13,-87,100,6.0,100,0.6666666666666714
14,-86,100,6.0,100,0.6666666666666714
15,-85,100,6.0,100,0.6666666666666714
16,-84,100,6.0,100,0.6666666666666714
17,-83,100,6.0,100,0.6666666666666714
18,-82,100,6.0,100,0.6666666666666714
19,-81,100,6.0,100,0.6666666666666714
20,-80,100,6.0,100,0.6666666666666714
21,-79,100,6.0,100,0.6666666666666714
22,-78,100,6.0,100,0.6666666666666714
23,-77,100,6.0,100,0.6666666666666714
24,-76,100,6.0,100,0.6666666666666714
25,-75,100,6.0,100,0.6666666666666714
26,-74,100,6.0,100,0.6666666666666714
27,-73,100,6.0,100,0.6666666666666714
28,-72,100,6.0,100,0.6666666666666714
29,-71,100,6.0,100,0.6666666666666714
30,-70,100,6.0,100,0.6666666666666714
31,-69,100,6.333333333333329,100,0.6666666666666714
32,-68,100,6.333333333333329,100,0.6666666666666714
33,-67,100,6.333333333333329,100,0.6666666666666714
34,-66,100,6.333333333333329,100,0.6666666666666714
35,-65,100,6.333333333333329,100,0.6666666666666714
36,-64,100,6.333333333333329,100,0.6666666666666714
37,-63,100,6.333333333333329,100,0.6666666666666714
38,-62,100,6.333333333333329,100,0.6666666666666714
39,-61,100,6.333333333333329,100,0.6666666666666714
40,-60,100,6.333333333333329,100,0.6666666666666714
41,-59,100,6.333333333333329,100,0.6666666666666714
42,-58,100,6.333333333333329,100,0.6666666666666714
43,-57,100,6.333333333333329,100,0.6666666666666714
44,-56,100,6.333333333333329,100,0.6666666666666714
45,-55,100,6.666666666666671,100,0.6666666666666714
46,-54,100,6.666666666666671,100,0.6666666666666714
47,-53,100,6.666666666666671,100,0.6666666666666714
48,-52,100,6.666666666666671,100,0.6666666666666714
49,-51,100,6.666666666666671,100,0.6666666666666714
50,-50,100,6.666666666666671,100,0.6666666666666714
51,-49,100,6.666666666666671,100,0.6666666666666714
52,-48,100,6.666666666666671,100,0.6666666666666714
53,-47,100,6.666666666666671,100,0.6666666666666714
54,-46,100,6.666666666666671,100,0.6666666666666714
55,-45,100,6.666666666666671,100,0.6666666666666714
56,-44,100,6.666666666666671,100,0.6666666666666714
57,-43,100,6.666666666666671,100,0.6666666666666714
58,-42,100,6.666666666666671,100,0.6666666666666714
59,-41,100,6.666666666666671,100,0.6666666666666714
60,-40,100,6.666666666666671,100,0.6666666666666714
61,-39,100,7.0,100,0.6666666666666714
62,-38,100,7.333333333333343,100,0.6666666666666714
63,-37,100,7.333333333333343,100,0.6666666666666714
64,-36,100,7.666666666666671,100,0.6666666666666714
65,-35,100,7.666666666666671,100,0.6666666666666714
66,-34,100,7.666666666666671,100,0.6666666666666714
67,-33,100,7.666666666666671,100,0.6666666666666714
68,-32,100,7.666666666666671,100,0.6666666666666714
69,-31,100,7.666666666666671,100,0.6666666666666714
70,-30,100,8.0,100,0.6666666666666714
71,-29,100,8.0,100,0.6666666666666714
72,-28,100,8.0,100,0.6666666666666714
73,-27,100,8.0,100,0.6666666666666714
74,-26,100,8.0,100,0.6666666666666714
75,-25,100,8.333333333333343,100,0.6666666666666714
76,-24,100,8.666666666666671,100,0.6666666666666714
77,-23,100,9.0,100,0.6666666666666714
78,-22,100,9.333333333333343,100,0.6666666666666714
79,-21,100,9.333333333333343,100,0.6666666666666714
80,-20,100,9.333333333333343,100,0.6666666666666714
81,-19,100,9.666666666666671,100,0.6666666666666714
82,-18,100,9.666666666666671,100,0.6666666666666714
83,-17,100,10.0,100,0.6666666666666714
84,-16,100,10.0,100,0.6666666666666714
85,-15,100,10.0,100,0.6666666666666714
86,-14,100,10.333333333333343,100,0.6666666666666714
87,-13,100,10.333333333333343,100,0.6666666666666714
88,-12,100,11.0,100,0.6666666666666714
89,-11,100,11.333333333333329,100,0.6666666666666714
90,-10,100,12.666666666666671,100,0.6666666666666714
91,-9,100,13.0,100,0.6666666666666714
92,-8,100,14.666666666666657,100,0.6666666666666714
93,-7,100,17.0,100,0.6666666666666714
94,-6,100,18.33333333333333,100,0.6666666666666714
95,-5,100,22.0,100,0.6666666666666714
96,-4,100,24.33333333333333,100,0.6666666666666714
97,-3,100,30.666666666666657,100,0.6666666666666714
98,-2,100,34.66666666666667,100,1.0
99,-1,100,42.333333333333336,100,1.0
