,threshold,ASR,delta_ASR,CACC,delta_CACC
0,-100,100,37.71929824561403,90.88,0.8570642201834744
1,-99,100,38.04824561403509,90.88,0.8570642201834744
2,-98,100,38.04824561403509,90.88,0.8570642201834744
3,-97,100,38.1578947368421,90.88,0.8570642201834744
4,-96,100,38.59649122807017,90.88,0.9717431192660513
5,-95,100,38.81578947368421,90.88,0.9717431192660513
6,-94,100,39.473684210526315,90.88,0.9717431192660513
7,-93,100,39.69298245614035,90.88,0.9717431192660513
8,-92,100,39.80263157894737,90.88,0.9717431192660513
9,-91,100,39.80263157894737,90.88,0.9717431192660513
10,-90,100,40.13157894736842,90.88,0.9717431192660513
11,-89,100,40.67982456140351,90.88,0.8570642201834744
12,-88,100,41.11842105263158,90.88,0.8570642201834744
13,-87,100,41.44736842105263,90.88,0.8570642201834744
14,-86,100,41.776315789473685,90.88,0.8570642201834744
15,-85,100,42.324561403508774,90.88,0.8570642201834744
16,-84,100,42.324561403508774,90.88,0.8570642201834744
17,-83,100,42.43421052631579,90.88,0.8570642201834744
18,-82,100,42.54385964912281,90.88,0.8570642201834744
19,-81,100,42.872807017543856,90.88,0.8570642201834744
20,-80,100,42.98245614035088,90.88,0.8570642201834744
21,-79,100,43.42105263157895,90.88,0.8570642201834744
22,-78,100,43.96929824561403,90.88,0.8570642201834744
23,-77,100,44.4078947368421,90.88,0.8570642201834744
24,-76,100,44.84649122807017,90.88,0.8570642201834744
25,-75,100,45.28508771929825,90.88,0.8570642201834744
26,-74,100,45.39473684210527,90.88,0.8570642201834744
27,-73,100,45.614035087719294,90.88,0.8570642201834744
28,-72,100,46.05263157894737,90.88,0.8570642201834744
29,-71,100,46.49122807017544,90.88,0.8570642201834744
30,-70,100,46.92982456140351,90.88,0.9717431192660513
31,-69,100,47.47807017543859,90.88,0.9717431192660513
32,-68,100,47.916666666666664,90.88,1.0864220183486282
33,-67,100,48.135964912280706,90.88,1.0864220183486282
34,-66,100,48.68421052631579,90.88,1.0864220183486282
35,-65,100,49.122807017543856,90.88,1.0864220183486282
36,-64,100,49.89035087719298,90.88,1.0864220183486282
37,-63,100,50.32894736842105,90.88,1.0864220183486282
38,-62,100,50.98684210526316,90.88,1.2011009174311909
39,-61,100,51.20614035087719,90.88,1.2011009174311909
40,-60,100,51.31578947368421,90.88,1.3157798165137535
41,-59,100,51.42543859649123,90.88,1.3157798165137535
42,-58,100,51.864035087719294,90.88,1.3157798165137535
43,-57,100,52.41228070175439,90.88,1.3157798165137535
44,-56,100,52.96052631578947,90.88,1.3157798165137535
45,-55,100,53.618421052631575,90.88,1.3157798165137535
46,-54,100,54.276315789473685,90.88,1.3157798165137535
47,-53,100,54.71491228070175,90.88,1.3157798165137535
48,-52,100,55.15350877192983,90.88,1.3157798165137535
49,-51,100,55.48245614035088,90.88,1.4304587155963304
50,-50,100,56.140350877192986,90.88,1.4304587155963304
51,-49,100,56.79824561403509,90.88,1.4304587155963304
52,-48,100,57.45614035087719,90.88,1.3157798165137535
53,-47,100,57.89473684210527,90.88,1.3157798165137535
54,-46,100,58.44298245614035,90.88,1.3157798165137535
55,-45,100,59.10087719298245,90.88,1.3157798165137535
56,-44,100,59.32017543859649,90.88,1.3157798165137535
57,-43,100,59.868421052631575,90.88,1.3157798165137535
58,-42,100,60.30701754385965,90.88,1.3157798165137535
59,-41,100,60.74561403508772,90.88,1.3157798165137535
60,-40,100,61.51315789473684,90.88,1.3157798165137535
61,-39,100,62.280701754385966,90.88,1.3157798165137535
62,-38,100,62.82894736842105,90.88,1.3157798165137535
63,-37,100,63.04824561403509,90.88,1.2011009174311909
64,-36,100,63.81578947368421,90.88,1.2011009174311909
65,-35,100,64.36403508771929,90.88,1.545137614678893
66,-34,100,64.47368421052632,90.88,1.545137614678893
67,-33,100,65.35087719298245,90.88,1.8891743119265954
68,-32,100,65.89912280701755,90.88,1.8891743119265954
69,-31,100,66.44736842105263,90.88,1.6598165137614558
70,-30,100,67.54385964912281,90.88,1.6598165137614558
71,-29,100,68.20175438596492,90.88,1.6598165137614558
